阿旗220千伏输变电站建设工程建筑面积为38487平方米监管中心迁建项目52655651,总投资1720万元电力改迁工程,http://www.qianlima.com/zb/detail/20170317_52655651.html,三门峡,商业,设计阶段,公用事业设施,不装修,1720万,2017-05-18
52109805,总投资400000万元光伏发电项目,http://www.qianlima.com/zb/detail/20170308_52109805.html,楚雄彝族自治州,商业,立项,公用事业设施,不装修,400000万,2017-03-09
49599137,总建筑面积64000平方米龙山县职业教育中心(EPC)建设项目,http://www.qianlima.com/zb/detail/20170106_49599137.html,湘西土家族苗族自治州,政府,施工准备,住宅,办公楼,酒店与餐饮,教育及研究,会展,简装修,26000万,2017-05-08
55561013,粮油物流加工粮油产业园建设项目,http://www.qianlima.com/zb/detail/20170505_55561013.html,海口,商业,立项,商业及零售,工业,不装修,80000万,2017-05-16
53032033,占地面积90000平方米公园建设工程,http://www.qianlima.com/zb/detail/20170324_53032033.html,沧州,商业,立项,休闲娱乐,不装修,5000万,2017-03-24
50200663,总建筑面积约30073平方米办公楼建设项目,http://www.qianlima.com/zb/detail/20170118_50200663.html,南宁,政府,立项,办公楼,不装修,13000万,2017-02-03
54260610,总建筑面积为24110平方米广宁县江屯中心卫生院(县第二人民医院)升级医疗发展建设项目(EPC),http://www.qianlima.com/zb/detail/20170414_54260610.html,肇庆,政府,施工在建,住宅,医疗,精装修,4400万,2017-05-23
52836193,总建筑面积为28000平方米科技馆建设项目,http://www.qianlima.com/zb/detail/20170321_52836193.html,泸州,政府,立项,会展,不装修,15000万,2017-03-22
53144455,建筑面积为56886平方米住宅楼建设项目,http://www.qianlima.com/zb/detail/20170327_53144455.html,阜阳,商业,设计阶段,住宅,商业及零售,交通,不装修,15000万,2017-05-09
50125042,总建筑面积为50304平方米厂房建设项目,http://www.qianlima.com/zb/detail/20170117_50125042.html,岳阳,商业,立项,商业及零售,工业,不装修,5000万,2017-01-21
49139541,总建筑面积为76200平方米中学整体搬迁建设项目,http://www.qianlima.com/zb/detail/20161228_49139541.html,邵阳,政府,施工在建,住宅,办公楼,酒店与餐饮,教育及研究,休闲娱乐,会展,简装修,38600万,2017-02-15
56441409,总建筑面积223855平方米天河区第二人民医院建设工程-三级 甲等,http://www.qianlima.com/zb/detail/20170518_56441409.html,广州,政府,立项,教育及研究,医疗,交通,精装修,未确定,2017-05-19
26506522,建筑面积5300平方米传染病医院综合楼建设工程,http://www.qianlima.com/zb/detail/20150831_26506522.html,阜新,商业,施工在建,医疗,简装修,1100万,2017-01-06
